step,time_s,target,satellite,lat_deg,lon_deg,priority,cumulative_return
1,60,7683,0,-15.2531,-88.4734,3.84615e-05,0.0265769
1,60,5418,1,-49.1706,-69.1506,3.84615e-05,0.0265769
1,60,5475,1,-49.1207,-69.0506,3.84615e-05,0.0265769
1,60,5598,1,-48.6257,-68.7137,3.84615e-05,0.0265769
1,60,3923,2,-79.3743,2.53459,3.84615e-05,0.0265769
1,60,7498,3,-51.8607,72.7871,3.84615e-05,0.0265769
1,60,7280,4,-18.6533,78.24,3.84615e-05,0.0265769
1,60,7525,5,17.9232,94.3239,3.84615e-05,0.0265769
1,60,2934,6,54.0864,107.421,3.84615e-05,0.0265769
1,60,3407,6,53.6859,107.302,3.84615e-05,0.0265769
1,60,17,7,71.831,-179.161,0.000384615,0.0265769
1,60,57,7,72.0023,-178.404,0.000384615,0.0265769
1,60,177,7,71.6175,179.971,0.000384615,0.0265769
1,60,377,7,71.4358,179.213,0.000384615,0.0265769
1,60,577,7,71.1469,-178.638,0.000384615,0.0265769
1,60,737,7,71.6879,-178.209,0.000384615,0.0265769
1,60,897,7,71.9371,-179.845,0.000384615,0.0265769
1,60,1177,7,71.7051,-179.527,0.000384615,0.0265769
1,60,1257,7,71.1737,-179.664,0.000384615,0.0265769
1,60,1777,7,71.9689,-178.828,0.000384615,0.0265769
1,60,1857,7,71.7322,179.224,0.000384615,0.0265769
1,60,3938,8,53.7888,-108.256,3.84615e-05,0.0265769
1,60,2373,9,17.6354,-93.596,3.84615e-05,0.0265769
1,60,2872,9,17.2262,-93.213,3.84615e-05,0.0265769
1,60,284,10,-1.571,126.187,0.000384615,0.0265769
1,60,444,10,-1.78024,126.633,0.000384615,0.0265769
1,60,1844,10,-1.6647,126.662,0.000384615,0.0265769
1,60,1924,10,-1.00023,126.055,0.000384615,0.0265769
1,60,7449,11,25.488,151.373,3.84615e-05,0.0265769
1,60,7164,12,43.7716,-168.743,3.84615e-05,0.0265769
1,60,141,13,42.7888,-117.358,0.000384615,0.0265769
1,60,301,13,42.8027,-117.798,0.000384615,0.0265769
1,60,381,13,42.6279,-117.847,0.000384615,0.0265769
1,60,461,13,42.8932,-117.831,0.000384615,0.0265769
1,60,1101,13,42.1804,-117.418,0.000384615,0.0265769
1,60,1181,13,43.1375,-118.111,0.000384615,0.0265769
1,60,1261,13,43.2353,-117.985,0.000384615,0.0265769
1,60,1421,13,42.822,-117.259,0.000384615,0.0265769
1,60,1621,13,42.9458,-117.94,0.000384615,0.0265769
1,60,1661,13,42.9569,-118.108,0.000384615,0.0265769
1,60,1941,13,42.5159,-117.383,0.000384615,0.0265769
1,60,3392,14,27.9118,-81.5217,3.84615e-05,0.0265769
1,60,4855,14,27.6629,-81.7457,3.84615e-05,0.0265769
1,60,3712,15,-4.41889,-56.8513,3.84615e-05,0.0265769
1,60,6065,15,-3.97923,-57.0086,3.84615e-05,0.0265769
1,60,6891,16,-30.7182,-31.4484,3.84615e-05,0.0265769
1,60,7841,17,-48.8554,6.66393,3.84615e-05,0.0265769
1,60,7138,21,-45.6616,-15.3899,3.84615e-05,0.0265769
1,60,7477,21,-45.4803,-15.8569,3.84615e-05,0.0265769
1,60,2074,22,-80.1708,24.1767,3.84615e-05,0.0265769
1,60,4313,22,-80.5483,25.1524,3.84615e-05,0.0265769
1,60,5961,22,-80.7246,24.978,3.84615e-05,0.0265769
1,60,7782,23,-62.6512,143.372,3.84615e-05,0.0265769
1,60,3690,24,-26.9264,152.429,3.84615e-05,0.0265769
1,60,7521,25,9.35896,163.847,3.84615e-05,0.0265769
1,60,7573,26,46.2824,165.238,3.84615e-05,0.0265769
1,60,6837,27,74.0823,-142.805,3.84615e-05,0.0265769
1,60,2051,28,61.4158,-46.5891,3.84615e-05,0.0265769
1,60,3376,30,43.5673,22.1071,3.84615e-05,0.0265769
1,60,3944,30,43.3617,22.605,3.84615e-05,0.0265769
1,60,6019,31,4.97657,12.2671,3.84615e-05,0.0265769
1,60,6254,31,5.31816,11.9117,3.84615e-05,0.0265769
1,60,6810,32,-31.5774,17.3085,3.84615e-05,0.0265769
1,60,7630,32,-31.8591,17.6151,3.84615e-05,0.0265769
1,60,6892,33,-67.7328,18.1815,3.84615e-05,0.0265769
1,60,4880,34,-76.7731,-138.196,3.84615e-05,0.0265769
1,60,5699,34,-76.8602,-140.264,3.84615e-05,0.0265769
1,60,7113,36,-7.29851,-160.806,3.84615e-05,0.0265769
1,60,6846,37,32.402,-161.925,3.84615e-05,0.0265769
1,60,2461,38,65.4566,-166.31,3.84615e-05,0.0265769
1,60,6972,39,77.1721,43.293,3.84615e-05,0.0265769
1,60,7910,39,76.8859,42.3681,3.84615e-05,0.0265769
1,60,504,40,47.6228,-2.84155,0.000384615,0.0265769
1,60,744,40,47.9946,-2.68744,0.000384615,0.0265769
1,60,864,40,47.4481,-2.68867,0.000384615,0.0265769
1,60,984,40,47.8693,-2.15854,0.000384615,0.0265769
1,60,1184,40,48.0893,-2.41675,0.000384615,0.0265769
1,60,1424,40,47.8453,-2.77901,0.000384615,0.0265769
1,60,1744,40,47.4097,-2.73611,0.000384615,0.0265769
1,60,1784,40,47.56,-2.94705,0.000384615,0.0265769
1,60,1904,40,48.0184,-2.86865,0.000384615,0.0265769
1,60,2688,41,21.3551,34.4177,3.84615e-05,0.0265769
1,60,4329,41,21.5159,34.0917,3.84615e-05,0.0265769
1,60,7728,42,-3.69475,55.0481,3.84615e-05,0.0265769
